epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc
154,1.0,0.3125,1.0,0.1484375,1.0,0.15625
155,1.0,0.3515625,1.0,0.140625,1.0,0.1796875
156,1.0,0.3359375,1.0,0.1171875,1.0,0.2265625
157,1.0,0.359375,1.0,0.09375,1.0,0.1875
158,1.0,0.296875,1.0,0.125,1.0,0.1953125
159,1.0,0.3828125,1.0,0.1171875,1.0,0.1796875
160,1.0,0.3515625,1.0,0.1015625,0.9921875,0.171875
161,1.0,0.3125,1.0,0.1875,1.0,0.1796875
162,1.0,0.328125,1.0,0.1875,1.0,0.1328125
163,1.0,0.375,1.0,0.1015625,1.0,0.09375
164,1.0,0.3828125,1.0,0.1328125,1.0,0.1953125
165,1.0,0.421875,1.0,0.1875,1.0,0.2265625
166,1.0,0.3828125,0.984375,0.1640625,0.9921875,0.1953125
167,1.0,0.2734375,1.0,0.109375,0.9453125,0.1796875
168,1.0,0.328125,0.9921875,0.1171875,1.0,0.2421875
169,1.0,0.25,1.0,0.1328125,1.0,0.1015625
170,0.984375,0.3828125,1.0,0.09375,1.0,0.1640625
171,1.0,0.2578125,1.0,0.1484375,1.0,0.15625
172,1.0,0.359375,1.0,0.1484375,1.0,0.1640625
173,1.0,0.359375,1.0,0.15625,1.0,0.2578125
174,1.0,0.359375,1.0,0.1640625,1.0,0.1484375
175,1.0,0.3125,1.0,0.171875,1.0,0.0859375
176,1.0,0.359375,1.0,0.109375,1.0,0.2265625
177,1.0,0.4140625,1.0,0.078125,1.0,0.21875
178,1.0,0.3515625,1.0,0.125,1.0,0.15625
179,1.0,0.359375,0.9921875,0.2734375,0.9921875,0.171875
180,1.0,0.359375,1.0,0.125,0.9765625,0.171875
181,1.0,0.34375,1.0,0.203125,0.9921875,0.1875
182,1.0,0.3203125,1.0,0.125,1.0,0.1796875
183,0.984375,0.328125,1.0,0.171875,1.0,0.1484375
184,1.0,0.328125,1.0,0.140625,1.0,0.1484375
185,1.0,0.296875,0.984375,0.15625,0.9921875,0.1640625
186,1.0,0.4765625,1.0,0.171875,0.90625,0.3046875
187,1.0,0.359375,1.0,0.125,0.9609375,0.1640625
188,0.9765625,0.3515625,0.984375,0.1484375,1.0,0.15625
189,1.0,0.3359375,1.0,0.15625,1.0,0.09375
190,1.0,0.34375,0.9921875,0.2265625,1.0,0.171875
191,1.0,0.3359375,1.0,0.1484375,1.0,0.1328125
192,1.0,0.28125,1.0,0.1796875,0.9453125,0.1953125
193,1.0,0.2890625,1.0,0.109375,1.0,0.1796875
194,1.0,0.3046875,0.9921875,0.2109375,0.65625,0.2265625
195,1.0,0.3671875,1.0,0.140625,1.0,0.171875
196,1.0,0.3515625,0.1640625,0.0546875,0.9765625,0.1328125
197,0.984375,0.2578125,1.0,0.109375,0.671875,0.109375
198,0.765625,0.3125,0.9609375,0.1328125,1.0,0.1015625
199,0.9375,0.28125,0.9765625,0.140625,1.0,0.1328125
200,0.96875,0.3671875,1.0,0.09375,1.0,0.1015625
201,0.9921875,0.34375,1.0,0.1875,0.9453125,0.1484375
202,1.0,0.359375,1.0,0.1015625,1.0,0.1015625
203,1.0,0.359375,1.0,0.1328125,1.0,0.046875
204,1.0,0.40625,1.0,0.140625,1.0,0.1484375
205,0.9921875,0.359375,1.0,0.1328125,1.0,0.140625
206,1.0,0.390625,1.0,0.171875,0.9765625,0.140625
207,0.9921875,0.3984375,0.9921875,0.140625,1.0,0.125
