epoch,d_loss,g_loss,psnr
319,0,0,7.606168249067942
320,0,0,7.240915113353815
321,0,0,7.70160545040437
322,0,0,7.326780833937972
323,0,0,8.337440094356765
324,0,0,7.463027237555851
325,0,0,8.2555192011323
326,0,0,7.7201121925099745
327,0,0,8.555925768095793
328,0,0,6.546699031043699
329,0,0,7.9859906508636325
330,0,0,8.20524668060292
331,0,0,7.471287355581671
332,0,0,7.6050309773909355
333,0,0,8.200443237835737
334,0,0,7.845627466867992
335,0,0,7.595191665791672
336,0,0,7.600895684005579
337,0,0,8.028191792244353
338,0,0,8.055018770960237
339,0,0,7.320633101084138
340,0,0,7.510109085186997
341,0,0,7.78465011031376
342,0,0,7.775390259572651
343,0,0,7.930798394991184
344,0,0,7.4194954096363634
345,0,0,7.478857685713
346,0,0,8.192088066425644
347,0,0,8.419908160007116
348,0,0,7.963893893945731
349,0,0,7.848595785747968
350,0,0,8.130375332051953
351,0,0,8.091918406134624
352,0,0,7.812533464176893
353,0,0,8.469314340930742
354,0,0,7.57772131188021
355,0,0,7.956251250775343
356,0,0,8.878762213959622
357,0,0,7.4961569387240345
358,0,0,7.537644897957685
359,0,0,8.050642528220703
360,0,0,7.751339778192011
361,0,0,7.785561402918547
362,0,0,8.235492301438017
363,0,0,7.8979831079267875
364,0,0,7.590826774573505
365,0,0,7.384266347209487
366,0,0,8.28040866117481
367,0,0,8.414339020979725
368,0,0,8.455250058997251
369,0,0,7.26984749738322
370,0,0,8.49028533729504
371,0,0,8.14637667899354
372,0,0,8.126454709714245
373,0,0,8.331050146968531
374,0,0,8.67307325769309
375,0,0,8.475830053691695
376,0,0,7.807449754970963
377,0,0,8.54143017658928
378,0,0,8.520834168988381
379,0,0,8.413805405910196
380,0,0,8.311467106046056
381,0,0,7.986762814646084
382,0,0,8.177159493592573
383,0,0,7.9697549415120195
384,0,0,8.448179277033422
385,0,0,8.254086847593461
386,0,0,8.66820670162615
387,0,0,7.977615983394691
388,0,0,7.915175348090258
389,0,0,8.262278157256386
390,0,0,9.094602398493269
391,0,0,8.334288485666107
392,0,0,8.534020167037523
393,0,0,8.672001127324892
394,0,0,8.193279397945574
395,0,0,8.152885711250086
396,0,0,7.876750403264655
397,0,0,7.705251735218783
398,0,0,8.658517003941594
399,0,0,8.41186553998478
400,0,0,8.02200269418124
401,-0.7367748022079468,0,7.746134197908522
402,-1.9921046495437622,0,8.429897897225862
403,-4.035192489624023,0,8.907961666021286
404,-4.955183982849121,0,8.612311246266891
405,-5.0249481201171875,0,9.113862789183433
406,-8.009761810302734,0,8.498505323975484
407,-6.601759910583496,0,8.70172771963839
408,-6.601759910583496,0,8.246416558162373
409,-1.1390104293823242,0,8.970588487885642
410,-9.289380073547363,0,9.12375584092975
411,-12.195463180541992,0,8.235694480699497
412,-12.57947063446045,0,8.754481008039551
413,-12.70373821258545,0,8.563248693630362
414,-15.121528625488281,0,8.969839532516755
415,-6.126708984375,0,8.874543632024935
416,-6.126708984375,0,8.821597925245655
417,-17.88603973388672,0,8.675535058072132
418,-17.81671905517578,0,7.912066354654725
419,-22.176654815673828,0,8.54586308993444
420,-21.306711196899414,0,8.424052563909372
421,-23.5806884765625,0,8.543008180440895
422,-25.99332618713379,0,8.857454465980672
423,-20.454296112060547,0,8.802860616676503
424,-20.454296112060547,0,9.003053199512248
425,-34.68073272705078,0,8.924609983545027
426,-40.64224624633789,0,8.621870485848168
427,-25.91094970703125,0,9.056703662831158
428,-22.36104965209961,0,9.221164550407805
429,-40.255340576171875,0,8.735390500592576
430,-49.30952453613281,0,8.758094878547945
431,-46.74208068847656,0,8.895894443047872
432,-46.74208068847656,0,8.968355277366381
433,-41.773521423339844,0,9.121629887373947
434,-51.84109115600586,0,8.911133421642463
435,-45.998443603515625,0,8.802263314365335
436,-51.73168182373047,0,8.223079554943514
437,-47.696044921875,0,9.459567520377664
438,-67.63673400878906,0,9.456436083757701
439,-62.835723876953125,0,8.880979823827113
440,-62.835723876953125,0,8.577066528510406
441,53.63487243652344,0,8.429601273916361
442,-70.6431884765625,0,8.890717196644935
443,-9.864356994628906,0,9.29775134868211
444,-47.84381866455078,0,8.958031598867423
445,-87.89105224609375,0,8.627889331401992
446,-61.634765625,0,8.253818009215149
447,-58.18294906616211,0,8.855909659511683
448,-58.18294906616211,0,8.727246473707211
449,-58.154396057128906,0,8.401063056863107
450,-50.72309875488281,0,8.554761536317837
451,-106.51167297363281,0,8.379624816952
452,-88.6823959350586,0,8.602803024919378
453,-134.84912109375,0,8.588757765134085
454,-103.57278442382812,0,8.229451097983288
455,-108.34160614013672,0,8.491777642731028
456,-108.34160614013672,0,9.172059678114886
457,-100.58885955810547,0,8.663863667908995
458,-63.095375061035156,0,9.169037373367658
459,-91.90311431884766,0,8.731698330984175
460,-44.388771057128906,0,8.874248489688528
461,-85.76191711425781,0,8.59410813567928
462,5.040245056152344,0,9.516035510805782
463,-106.78337860107422,0,8.67345993789606
464,-106.78337860107422,0,8.824960984256835
465,-135.22640991210938,0,8.61647641266252
466,-94.7763671875,0,9.290474511082682
467,-67.95133972167969,0,8.964816141149122
468,-116.44383239746094,0,9.112768995743801
469,-113.78892517089844,0,8.335791655373324
470,-83.7137680053711,0,9.014323109186206
471,-176.13523864746094,0,8.509510990902474
472,-176.13523864746094,0,9.063002151195947
473,-148.2449493408203,0,9.011321467519393
474,-190.85272216796875,0,9.172013683546968
475,-127.67579650878906,0,8.784580448524968
476,-191.22337341308594,0,8.515244978857591
477,-155.58566284179688,0,9.204140256532977
478,-73.77632904052734,0,8.979281627176851
479,-130.51075744628906,0,9.156882536656502
480,-130.51075744628906,0,8.872963281293933
481,-136.83111572265625,0,9.352114056824897
482,-214.02935791015625,0,8.997678366056768
483,-263.83831787109375,0,9.178173802315623
484,-274.12689208984375,0,8.86715662586793
485,-116.45358276367188,0,8.815133305168514
486,-106.11859130859375,0,8.289899363755449
487,-269.90576171875,0,9.024362373249097
488,-269.90576171875,0,9.14082546413333
489,-227.1556396484375,0,8.395119976309012
490,-186.931640625,0,8.869208198743914
491,-153.350341796875,0,8.731621977734394
492,-337.80194091796875,0,8.836968104171776
493,-273.13031005859375,0,9.146066849633856
494,-258.0159912109375,0,9.085442532492848
495,-415.26513671875,0,8.600457585047332
496,-415.26513671875,0,8.4460000138823
497,-336.772705078125,0,8.696066806035684
498,-389.03155517578125,0,8.759638347882833
499,-302.0125427246094,0,8.772839061768982
500,-270.98065185546875,0,9.268116732592809
501,-268.5125732421875,580.572998046875,8.613371091501808
502,-317.7994079589844,573.2935791015625,8.084020677730111
503,-312.34527587890625,562.3157958984375,7.101201173814042
504,-312.34527587890625,562.3157958984375,7.394247058242982
505,-339.59716796875,667.4418334960938,8.167938472590606
506,-545.1546020507812,840.3165893554688,8.4979571458548
507,-401.6313781738281,796.8984375,8.604184336318944
508,-414.1670227050781,813.16259765625,8.27153193477687
509,-379.8805847167969,665.9452514648438,7.880333493068875
510,-238.98049926757812,532.3009643554688,6.684501796071778
511,172.9203338623047,183.32656860351562,5.658513992354159
512,172.9203338623047,183.32656860351562,6.717711821277353
513,-332.816650390625,461.2328186035156,6.887987175908066
514,-435.5533142089844,604.8119506835938,8.022849016257988
515,-444.64263916015625,725.3845825195312,6.825081410826708
516,-196.74270629882812,714.7265625,7.2213813729016945
517,-419.10308837890625,752.4935302734375,6.732649572810812
518,-433.031005859375,783.4219360351562,6.578905664422373
519,-177.1178741455078,720.5213012695312,6.308834713283994
520,-177.1178741455078,720.5213012695312,7.463789746197032
521,-343.5343322753906,839.1915283203125,7.005118465316738
522,-405.1902770996094,846.350830078125,6.372152136678482
523,-418.18353271484375,877.89404296875,5.858555605796223
524,-250.21128845214844,654.0911865234375,5.232777277229869
525,-331.9784851074219,773.1177368164062,4.776842769222764
526,74.89120483398438,206.28932189941406,4.82112424895843
527,-128.09373474121094,305.742431640625,4.655014196723045
528,-128.09373474121094,305.742431640625,7.181417093367267
529,-272.3086853027344,422.3041076660156,7.13094281682635
530,-212.88674926757812,536.159912109375,6.330047522450545
531,-269.4951171875,690.9896850585938,6.256363666204332
532,-220.35220336914062,689.06640625,6.531947757777949
533,-485.41217041015625,839.7685546875,5.901899292007661
534,-446.98907470703125,905.7379760742188,5.838248339783718
535,-215.10861206054688,835.6641235351562,5.8628115985214615
536,-215.10861206054688,835.6641235351562,6.8967325496789735
537,-585.8876953125,951.8795166015625,6.455182722484414
538,-369.1032409667969,894.0677490234375,5.955113319869998
539,-353.70648193359375,834.3355712890625,5.458856984523286
540,-110.67788696289062,522.338623046875,4.5915229099113635
541,-161.29954528808594,364.26678466796875,4.046968229102299
542,-381.5824890136719,555.2271728515625,3.564205913626774
543,-303.6941223144531,493.41827392578125,3.3990913094295
544,-303.6941223144531,493.41827392578125,6.884303194074507
545,-501.30950927734375,885.4571533203125,7.115675781653693
546,-389.9414978027344,840.2799682617188,6.592244648762825
547,-402.94085693359375,1049.451171875,6.870250331451856
548,-534.120849609375,810.3963623046875,7.359538833780853
549,-492.35601806640625,1002.8363647460938,6.881408753630138
550,-467.93450927734375,902.7937622070312,6.434344117310177
551,-263.48895263671875,762.5712890625,5.892161438865178
552,-263.48895263671875,762.5712890625,6.913357373570798
553,-610.7550048828125,1089.287353515625,7.281549870495423
554,-729.4929809570312,1349.834716796875,7.267279416000937
555,-410.4553527832031,993.6410522460938,7.528513672608281
556,-448.8087463378906,948.7778930664062,7.389467049206663
557,-514.1798095703125,867.939697265625,6.770547006958728
558,4244.44677734375,425.3798828125,6.639011641101638
559,240.5150604248047,14.815328598022461,6.635011851079461
560,240.5150604248047,14.815328598022461,6.575342000017362
561,223.64273071289062,93.82421875,7.446085622825182
562,52.00740432739258,135.15750122070312,7.098857627339793
563,122.7492446899414,207.9681854248047,7.205009837163933
564,-176.0808563232422,247.0203094482422,6.303463532663719
565,-420.0700988769531,706.229248046875,7.319076669717949
566,-588.792236328125,969.15771484375,6.947451859522862
567,-503.2728271484375,1062.474853515625,6.869041367602372
568,-503.2728271484375,1062.474853515625,6.995317305631252
569,-784.6461791992188,1260.791748046875,7.072477016772289
570,-791.997802734375,1385.0645751953125,6.861024961143358
571,-727.7322387695312,1671.849365234375,7.354498407415475
