epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
269,1.0,0.890625,1.0,0.59375,0.984375,0.5,0.203125
270,1.0,0.890625,1.0,0.578125,0.90625,0.546875,0.28125
271,1.0,0.90625,1.0,0.5625,0.921875,0.484375,0.1875
272,0.984375,0.953125,1.0,0.515625,0.96875,0.5625,0.140625
273,1.0,0.890625,1.0,0.484375,0.921875,0.484375,0.1875
274,0.984375,0.953125,1.0,0.53125,1.0,0.71875,0.21875
275,1.0,0.828125,0.984375,0.546875,0.984375,0.53125,0.21875
276,1.0,0.9375,1.0,0.5625,0.625,0.53125,0.265625
277,1.0,0.890625,1.0,0.515625,0.90625,0.421875,0.140625
278,1.0,0.921875,1.0,0.5,0.953125,0.46875,0.28125
279,1.0,0.875,1.0,0.421875,0.953125,0.5,0.21875
280,1.0,0.921875,1.0,0.640625,0.875,0.5,0.234375
281,1.0,0.921875,1.0,0.5625,0.984375,0.453125,0.296875
282,1.0,0.90625,1.0,0.515625,1.0,0.5625,0.1875
283,1.0,0.75,1.0,0.453125,1.0,0.5,0.140625
284,1.0,0.84375,1.0,0.5,1.0,0.5,0.296875
285,1.0,0.890625,1.0,0.53125,1.0,0.484375,0.1875
286,1.0,0.859375,1.0,0.5,0.96875,0.578125,0.21875
287,1.0,0.96875,1.0,0.515625,0.40625,0.671875,0.171875
288,1.0,0.890625,1.0,0.578125,0.984375,0.609375,0.265625
289,1.0,0.8125,1.0,0.484375,1.0,0.515625,0.171875
290,1.0,0.90625,1.0,0.484375,1.0,0.546875,0.28125
291,1.0,0.90625,1.0,0.515625,0.984375,0.546875,0.296875
292,1.0,0.921875,1.0,0.46875,0.984375,0.5625,0.296875
293,1.0,0.96875,1.0,0.65625,0.984375,0.546875,0.3125
294,0.984375,0.859375,1.0,0.546875,1.0,0.546875,0.203125
295,1.0,0.890625,1.0,0.484375,1.0,0.546875,0.21875
296,1.0,0.921875,1.0,0.578125,1.0,0.515625,0.28125
297,1.0,0.9375,1.0,0.546875,0.984375,0.609375,0.328125
298,1.0,0.921875,1.0,0.53125,1.0,0.5625,0.203125
299,1.0,0.90625,1.0,0.453125,0.984375,0.59375,0.296875
300,1.0,0.921875,1.0,0.5,0.875,0.546875,0.21875
301,1.0,0.9375,1.0,0.5,0.984375,0.6875,0.203125
302,1.0,0.859375,1.0,0.546875,1.0,0.5625,0.203125
303,1.0,0.9375,1.0,0.578125,0.984375,0.546875,0.28125
304,1.0,0.90625,1.0,0.546875,0.921875,0.515625,0.28125
305,1.0,0.828125,1.0,0.546875,0.921875,0.65625,0.375
306,1.0,0.9375,1.0,0.609375,0.59375,0.484375,0.296875
307,1.0,0.921875,1.0,0.546875,0.765625,0.53125,0.3125
308,1.0,0.921875,1.0,0.515625,1.0,0.5625,0.25
309,1.0,0.875,1.0,0.453125,1.0,0.546875,0.296875
310,1.0,0.984375,1.0,0.6875,0.859375,0.546875,0.28125
311,1.0,0.9375,1.0,0.515625,1.0,0.5625,0.1875
312,1.0,0.859375,1.0,0.546875,1.0,0.546875,0.3125
313,1.0,0.953125,1.0,0.546875,1.0,0.546875,0.203125
314,1.0,0.859375,1.0,0.609375,0.984375,0.65625,0.203125
315,1.0,0.96875,1.0,0.6875,0.390625,0.59375,0.296875
316,0.96875,0.84375,1.0,0.578125,1.0,0.5,0.3125
317,1.0,0.9375,1.0,0.5,0.84375,0.625,0.265625
318,1.0,0.953125,1.0,0.5625,0.84375,0.484375,0.375
319,1.0,0.921875,1.0,0.5625,0.953125,0.703125,0.203125
320,1.0,0.9375,1.0,0.5,1.0,0.625,0.140625
321,0.984375,0.921875,1.0,0.53125,1.0,0.546875,0.28125
322,1.0,0.953125,1.0,0.578125,0.984375,0.625,0.28125
323,1.0,0.953125,1.0,0.65625,0.171875,0.609375,0.328125
