epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
158,0.984375,0.6875,1.0,0.171875,0.234375,0.125,0.171875
159,0.953125,0.703125,1.0,0.078125,0.34375,0.21875,0.140625
160,1.0,0.6875,1.0,0.09375,0.40625,0.1875,0.15625
161,1.0,0.546875,1.0,0.171875,0.1875,0.140625,0.203125
162,1.0,0.578125,1.0,0.140625,0.046875,0.0625,0.1875
163,0.984375,0.734375,1.0,0.0625,0.125,0.09375,0.15625
164,0.984375,0.609375,1.0,0.09375,0.140625,0.1875,0.140625
165,0.96875,0.78125,1.0,0.171875,0.265625,0.09375,0.125
166,1.0,0.625,1.0,0.171875,0.28125,0.125,0.140625
167,0.984375,0.640625,1.0,0.1875,0.203125,0.109375,0.28125
168,0.96875,0.765625,1.0,0.203125,0.5,0.078125,0.15625
169,0.984375,0.734375,1.0,0.21875,0.515625,0.140625,0.140625
170,1.0,0.796875,1.0,0.140625,0.28125,0.140625,0.125
171,0.984375,0.65625,1.0,0.125,0.234375,0.1875,0.21875
172,1.0,0.78125,1.0,0.1875,0.328125,0.109375,0.234375
173,1.0,0.671875,1.0,0.203125,0.25,0.171875,0.234375
174,1.0,0.734375,1.0,0.203125,0.0625,0.1875,0.203125
175,1.0,0.65625,1.0,0.0625,0.0625,0.171875,0.15625
176,1.0,0.703125,1.0,0.09375,0.1875,0.1875,0.125
177,0.984375,0.640625,1.0,0.15625,0.328125,0.109375,0.1875
178,0.96875,0.734375,1.0,0.109375,0.46875,0.125,0.15625
179,1.0,0.65625,1.0,0.140625,0.25,0.140625,0.203125
180,0.9375,0.828125,1.0,0.15625,0.65625,0.21875,0.15625
181,1.0,0.578125,1.0,0.140625,0.5,0.125,0.15625
182,0.984375,0.71875,1.0,0.125,0.21875,0.21875,0.28125
183,1.0,0.734375,1.0,0.125,0.203125,0.109375,0.171875
184,1.0,0.65625,1.0,0.09375,0.15625,0.125,0.125
185,1.0,0.703125,1.0,0.140625,0.25,0.1875,0.15625
186,0.984375,0.671875,1.0,0.140625,0.328125,0.078125,0.109375
187,1.0,0.8125,1.0,0.234375,0.171875,0.15625,0.21875
188,0.96875,0.6875,1.0,0.15625,0.203125,0.109375,0.046875
189,0.96875,0.84375,1.0,0.1875,0.40625,0.15625,0.15625
190,1.0,0.703125,1.0,0.03125,0.171875,0.140625,0.1875
191,1.0,0.671875,1.0,0.21875,0.0,0.125,0.140625
192,0.953125,0.796875,1.0,0.15625,0.390625,0.15625,0.1875
193,0.953125,0.78125,1.0,0.109375,0.71875,0.109375,0.109375
194,1.0,0.734375,1.0,0.15625,0.46875,0.15625,0.1875
195,1.0,0.75,1.0,0.140625,0.265625,0.0625,0.15625
196,1.0,0.78125,1.0,0.125,0.21875,0.234375,0.109375
197,0.984375,0.765625,1.0,0.1875,0.265625,0.078125,0.0625
198,0.96875,0.65625,1.0,0.140625,0.203125,0.15625,0.203125
199,1.0,0.703125,1.0,0.078125,0.15625,0.21875,0.09375
200,1.0,0.71875,1.0,0.125,0.0,0.125,0.15625
201,0.984375,0.796875,1.0,0.21875,0.25,0.140625,0.15625
202,1.0,0.71875,1.0,0.265625,0.359375,0.171875,0.21875
203,1.0,0.71875,1.0,0.21875,0.28125,0.140625,0.078125
204,1.0,0.828125,1.0,0.234375,0.3125,0.125,0.125
205,0.96875,0.6875,1.0,0.1875,0.28125,0.15625,0.125
206,0.984375,0.765625,1.0,0.125,0.203125,0.125,0.1875
207,1.0,0.734375,1.0,0.09375,0.09375,0.109375,0.125
208,0.96875,0.796875,1.0,0.140625,0.109375,0.140625,0.171875
209,0.984375,0.6875,1.0,0.125,0.28125,0.125,0.140625
210,1.0,0.75,1.0,0.140625,0.203125,0.1875,0.109375
211,0.984375,0.75,1.0,0.15625,0.15625,0.109375,0.140625
212,0.984375,0.765625,1.0,0.09375,0.3125,0.1875,0.109375
213,0.96875,0.765625,1.0,0.125,0.34375,0.09375,0.15625
214,1.0,0.703125,1.0,0.140625,0.25,0.1875,0.15625
215,1.0,0.796875,1.0,0.1875,0.03125,0.109375,0.140625
216,0.984375,0.6875,1.0,0.140625,0.171875,0.203125,0.109375
217,1.0,0.796875,1.0,0.203125,0.171875,0.203125,0.078125
218,1.0,0.84375,1.0,0.125,0.125,0.125,0.09375
219,1.0,0.703125,1.0,0.125,0.109375,0.171875,0.09375
220,0.921875,0.71875,1.0,0.09375,0.578125,0.140625,0.140625
221,1.0,0.75,1.0,0.125,0.484375,0.109375,0.046875
222,1.0,0.828125,1.0,0.15625,0.265625,0.171875,0.09375
223,1.0,0.640625,1.0,0.1875,0.171875,0.15625,0.125
224,0.953125,0.71875,1.0,0.140625,0.203125,0.15625,0.09375
225,0.984375,0.796875,1.0,0.09375,0.109375,0.21875,0.109375
226,0.953125,0.78125,1.0,0.125,0.3125,0.0625,0.15625
227,0.984375,0.84375,1.0,0.15625,0.171875,0.171875,0.15625
228,0.984375,0.734375,1.0,0.1875,0.140625,0.109375,0.15625
229,0.984375,0.703125,1.0,0.125,0.09375,0.1875,0.109375
230,0.984375,0.734375,1.0,0.1875,0.125,0.140625,0.125
231,0.96875,0.65625,1.0,0.15625,0.1875,0.15625,0.078125
232,0.984375,0.875,1.0,0.15625,0.265625,0.140625,0.15625
233,0.96875,0.765625,1.0,0.203125,0.171875,0.1875,0.15625
234,1.0,0.75,1.0,0.140625,0.171875,0.15625,0.109375
235,0.984375,0.78125,1.0,0.140625,0.15625,0.1875,0.140625
236,1.0,0.734375,1.0,0.171875,0.078125,0.109375,0.15625
237,0.953125,0.828125,1.0,0.109375,0.1875,0.328125,0.140625
238,0.984375,0.875,1.0,0.203125,0.1875,0.140625,0.21875
239,1.0,0.78125,1.0,0.171875,0.140625,0.109375,0.0625
240,0.984375,0.78125,1.0,0.15625,0.1875,0.171875,0.03125
241,0.953125,0.734375,1.0,0.140625,0.4375,0.140625,0.09375
242,0.984375,0.765625,1.0,0.078125,0.265625,0.1875,0.203125
243,1.0,0.828125,1.0,0.15625,0.09375,0.140625,0.234375
244,0.984375,0.734375,1.0,0.140625,0.09375,0.109375,0.125
245,0.984375,0.734375,1.0,0.203125,0.03125,0.09375,0.1875
246,0.953125,0.71875,1.0,0.140625,0.34375,0.140625,0.109375
247,0.984375,0.796875,1.0,0.171875,0.140625,0.1875,0.15625
248,0.96875,0.828125,1.0,0.09375,0.109375,0.203125,0.15625
249,1.0,0.734375,1.0,0.1875,0.0625,0.078125,0.109375
250,0.984375,0.875,1.0,0.109375,0.125,0.15625,0.125
251,0.984375,0.859375,1.0,0.1875,0.15625,0.234375,0.078125
252,0.984375,0.84375,1.0,0.1875,0.09375,0.203125,0.15625
253,1.0,0.875,1.0,0.140625,0.125,0.125,0.140625
254,1.0,0.8125,1.0,0.109375,0.046875,0.078125,0.140625
255,0.921875,0.796875,1.0,0.125,0.25,0.109375,0.109375
256,1.0,0.703125,1.0,0.203125,0.125,0.15625,0.09375
257,0.984375,0.75,1.0,0.21875,0.015625,0.25,0.171875
258,1.0,0.78125,1.0,0.125,0.09375,0.125,0.125
259,0.984375,0.765625,1.0,0.203125,0.046875,0.21875,0.140625
260,0.953125,0.859375,1.0,0.171875,0.21875,0.09375,0.0625
261,1.0,0.703125,1.0,0.25,0.046875,0.109375,0.140625
262,0.984375,0.640625,1.0,0.09375,0.15625,0.109375,0.09375
263,0.984375,0.6875,1.0,0.0625,0.203125,0.21875,0.0625
264,1.0,0.84375,1.0,0.1875,0.21875,0.1875,0.140625
265,0.984375,0.828125,1.0,0.140625,0.09375,0.1875,0.140625
266,1.0,0.734375,1.0,0.15625,0.203125,0.140625,0.125
267,1.0,0.796875,1.0,0.28125,0.15625,0.078125,0.109375
268,1.0,0.828125,1.0,0.1875,0.03125,0.1875,0.140625
269,0.96875,0.796875,1.0,0.25,0.21875,0.140625,0.171875
270,0.984375,0.859375,1.0,0.109375,0.203125,0.171875,0.15625
271,0.984375,0.734375,1.0,0.171875,0.25,0.125,0.125
272,1.0,0.828125,1.0,0.234375,0.0625,0.203125,0.234375
273,0.953125,0.75,0.984375,0.15625,0.5,0.1875,0.171875
274,1.0,0.84375,1.0,0.15625,0.171875,0.109375,0.125
275,1.0,0.859375,1.0,0.15625,0.1875,0.15625,0.140625
276,0.984375,0.71875,1.0,0.171875,0.078125,0.109375,0.109375
277,1.0,0.78125,1.0,0.1875,0.0,0.15625,0.125
278,0.984375,0.765625,1.0,0.1875,0.15625,0.125,0.078125
279,0.96875,0.84375,1.0,0.09375,0.3125,0.109375,0.15625
280,1.0,0.6875,1.0,0.203125,0.125,0.171875,0.09375
281,1.0,0.78125,1.0,0.15625,0.03125,0.171875,0.125
282,0.96875,0.828125,1.0,0.140625,0.21875,0.1875,0.125
283,1.0,0.78125,1.0,0.234375,0.234375,0.203125,0.0625
284,1.0,0.75,1.0,0.25,0.046875,0.125,0.171875
