epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
174,0.984375,0.90625,1.0,0.0625,0.0,0.0625,0.15625
175,1.0,0.84375,1.0,0.125,0.0,0.0625,0.046875
176,0.96875,0.796875,1.0,0.09375,0.0,0.078125,0.109375
177,0.984375,0.828125,1.0,0.09375,0.0,0.125,0.078125
178,0.984375,0.796875,1.0,0.09375,0.0,0.078125,0.125
179,0.984375,0.75,1.0,0.15625,0.0,0.109375,0.046875
180,0.984375,0.875,1.0,0.0625,0.0,0.046875,0.078125
181,0.96875,0.78125,1.0,0.171875,0.0,0.09375,0.0625
182,1.0,0.890625,1.0,0.15625,0.0,0.109375,0.09375
183,1.0,0.71875,1.0,0.078125,0.0,0.125,0.09375
184,0.984375,0.78125,1.0,0.09375,0.0,0.109375,0.078125
185,0.984375,0.8125,1.0,0.125,0.0,0.109375,0.09375
186,0.984375,0.78125,1.0,0.15625,0.0,0.1875,0.09375
187,0.921875,0.84375,0.96875,0.265625,0.0,0.09375,0.171875
188,0.875,0.75,0.296875,0.28125,0.0,0.25,0.28125
189,0.609375,0.75,0.0,0.296875,0.203125,0.15625,0.109375
190,0.5625,0.90625,0.0,0.21875,0.65625,0.125,0.125
191,0.421875,0.6875,0.0,0.078125,0.921875,0.15625,0.078125
192,0.390625,0.796875,0.0,0.265625,0.875,0.1875,0.125
193,0.40625,0.796875,0.0,0.203125,0.734375,0.1875,0.140625
194,0.390625,0.796875,0.015625,0.21875,0.484375,0.1875,0.109375
195,0.4375,0.875,0.125,0.1875,0.203125,0.171875,0.1875
196,0.5625,0.84375,0.375,0.21875,0.15625,0.15625,0.109375
197,0.640625,0.875,0.453125,0.265625,0.25,0.171875,0.109375
198,0.75,0.796875,0.375,0.265625,0.296875,0.15625,0.1875
199,0.90625,0.859375,0.59375,0.234375,0.125,0.203125,0.203125
200,0.859375,0.65625,0.5,0.296875,0.125,0.140625,0.15625
201,0.890625,0.90625,0.359375,0.171875,0.125,0.171875,0.15625
202,0.828125,0.75,0.21875,0.3125,0.234375,0.21875,0.109375
203,0.828125,0.8125,0.140625,0.21875,0.21875,0.203125,0.140625
204,0.71875,0.875,0.203125,0.21875,0.1875,0.21875,0.140625
205,0.59375,0.84375,0.296875,0.328125,0.21875,0.203125,0.203125
206,0.53125,0.890625,0.21875,0.296875,0.328125,0.15625,0.140625
207,0.609375,0.796875,0.28125,0.109375,0.296875,0.1875,0.0625
208,0.546875,0.84375,0.21875,0.1875,0.265625,0.203125,0.078125
209,0.515625,0.8125,0.140625,0.234375,0.296875,0.125,0.09375
210,0.53125,0.796875,0.28125,0.21875,0.21875,0.140625,0.09375
211,0.390625,0.8125,0.390625,0.25,0.1875,0.296875,0.078125
212,0.546875,0.734375,0.453125,0.171875,0.125,0.34375,0.015625
213,0.40625,0.796875,0.65625,0.21875,0.0625,0.15625,0.109375
214,0.421875,0.875,0.765625,0.203125,0.03125,0.140625,0.140625
215,0.484375,0.734375,0.921875,0.25,0.0,0.125,0.078125
216,0.671875,0.859375,1.0,0.265625,0.0,0.171875,0.15625
217,0.765625,0.796875,1.0,0.21875,0.0,0.1875,0.125
218,0.828125,0.84375,0.984375,0.25,0.0,0.21875,0.21875
219,0.796875,0.859375,0.96875,0.203125,0.0,0.21875,0.09375
