epoch,d_loss,g_loss,psnr,cnn_accuracy
414,-5287.9423828125,9347.1455078125,2.9840142879044307,0.46875
415,-10265.55859375,8516.357421875,2.8367137764915498,0.5
416,-2322.7490234375,7631.896484375,2.562610443891133,0.421875
417,-4689.2294921875,8877.755859375,2.4165079203782893,0.5
418,-11269.5654296875,8819.546875,2.2505690889254164,0.46875
419,-6584.2412109375,7824.0224609375,2.292139999611446,0.375
420,-7683.5966796875,9358.96875,2.01863710071307,0.375
421,-3061.193359375,8272.3896484375,2.162571447650938,0.390625
422,-7565.39697265625,8040.36865234375,1.7502170054135744,0.328125
423,-9454.900390625,8868.6845703125,2.4587620507819303,0.53125
424,-1003.162109375,9432.5673828125,1.774791112942446,0.4375
425,-9718.134765625,8416.994140625,2.2340437121206844,0.328125
426,-7812.6015625,7527.0029296875,2.78046167735532,0.46875
427,-7963.40234375,8154.85302734375,2.3775035648392757,0.5625
428,-3887.9404296875,7461.556640625,2.672072350485841,0.5
429,-7421.7333984375,9432.7373046875,2.663557672188921,0.5625
430,-8713.8994140625,9013.6328125,1.9080815511571794,0.421875
431,-8862.00390625,8479.3466796875,2.2376870426530218,0.53125
432,-6117.1943359375,7870.033203125,1.823413765792592,0.5
433,-6540.30810546875,7763.1240234375,2.762331357091033,0.53125
434,4899.197265625,5587.29248046875,1.829097780880728,0.484375
435,-6600.9619140625,8661.8447265625,2.6686115479243018,0.4375
436,-7607.0732421875,7869.7646484375,2.5970531591541346,0.46875
437,-8874.568359375,8244.021484375,2.7212910529897587,0.53125
438,-7410.4619140625,8406.283203125,2.6134635647595172,0.46875
439,-1126.7294921875,8545.12109375,3.0094866956656263,0.5
440,-1373.796875,9342.57421875,3.1217123139691854,0.578125
441,-6388.7294921875,7210.578125,2.1551885506431754,0.34375
442,-5329.14306640625,8098.88916015625,2.661460273996916,0.375
443,-7281.97900390625,7946.41552734375,3.0216777522569087,0.484375
444,-8536.7744140625,8616.2880859375,2.460327693648745,0.46875
445,-5781.3134765625,7470.5986328125,2.932850627896762,0.53125
446,-8660.435546875,7358.7314453125,2.700785013598032,0.59375
447,-4428.138671875,6114.3505859375,1.965975648198225,0.46875
448,-8327.640625,8021.71826171875,1.6975189136877442,0.375
449,-7968.7841796875,7761.9326171875,1.6441332340311776,0.421875
450,-8696.150390625,7897.748046875,2.4825211849312483,0.515625
451,-5958.130859375,8719.2568359375,2.970866743594681,0.515625
452,-7924.12890625,8312.0390625,2.135128978389451,0.40625
453,-6778.1826171875,8678.64453125,1.190170633992841,0.4375
454,-7342.79931640625,7359.30859375,2.408009307372659,0.453125
455,-7261.5576171875,8479.41015625,2.580780501157573,0.484375
456,-1739.5048828125,8351.9462890625,3.562933058569085,0.515625
457,-5942.91455078125,7860.66064453125,3.3796788306355445,0.484375
458,-4563.95458984375,8347.6904296875,2.812830589580861,0.515625
